row_id,name,description,genre,contentrating,keywords,page_url,director,aggregaterating,duration,actor,datepublished,review,trailer,musicby,creator,countryoforigin,datecreated,inlanguage,subtitlelanguage,releasedevent,publisher,producer,url,offers,image,author,datemodified,alternatename,identifier,contentlocation,reviewbody,title,sameas,tag,editor
1911,Baaria,Giuseppe Tornatore's 2009 production of Baaria.,Drama,,"Giuseppe Tornatore, Italy, France, sicily, fascism, mafia, communism",https://telescopefilm.com/germanfilms/film/8853-baaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2287,El último Elvis,"Carlos Gutiérrez, \""Elvis\"", es un cantante separado que vive en un olvidado barrio de Buenos Aires y que tiene una pequeña hija llamada Lisa Marie, a la que no ve muy seguido. Siempre vivió su vida como si fuese la reencarnación de Elvis Presley, negándose a aceptar su realidad. Pero está a punto de cumplir los años que su ídolo tenía al morir y su futuro se muestra vacío. Una situación inesperada lo obliga a hacerse cargo de su hija. En esos días, Carlos logra conocerse como padre y Lisa Marie aprende a aceptarlo tal cual es. Pero el destino le presenta una decisión difícil. En un viaje de locura y música, Carlos deberá elegir entre su sueño de ser Elvis o su familia. (FILMAFFINITY)",Drama,,,https://www.filmaffinity.com/es/film954280.html,{'name': 'Armando Bo II'},"{'worstrating': '1', 'ratingvalue': '6.6', 'ratingcount': '1609', 'bestrating': '10', 'reviewcount': '35'}",92 min.,"[{'name': 'Corina Romero'}, {'name': 'John McInerny'}, {'name': 'Nora Childers'}, {'name': 'Margarita López'}, {'name': 'Rocío Rodríguez Presedo'}, {'name': 'Griselda Siciliani'}]",2012,"[{'reviewbody': '\\""Maduro debut, (...) revive el gusto por lo popular y lo extravagante de que hacían gala sin pudor alguno los abuelos del realizador.\\""', 'author': 'Jorge Ayala Blanco: Diario El Financiero'}, {'reviewbody': '\\""Un escalofriante drama social sobre la mitomanía como cárcel y, al tiempo, como salvación. (...) Brillante hasta su extraordinario último plano, (...) \'El último Elvis\' es una conmoción social, mística y musical.\\""', 'author': 'Javier Ocaña: Diario El País'}, {'reviewbody': '\\""Graciosa y delirante, el personaje principal de \'El Último Elvis\' se ganará un buen montón de aficionados en esta parábola de la obsesión y la negación de Armando Bo\\""', 'author': 'John Anderson: Variety'}, {'reviewbody': '\\""Una película humilde, serena e intimista, presidida por momentos de ternura muy naturales, sin atisbo de sentimentalismo (...) una obra calurosa y conmovedora.\\""', 'author': 'Lluís Bonet Mojica: Diario La Vanguardia'}, {'reviewbody': '\\""El trabajo de John McInerny hace convincente el camino a la locura de su personaje, y la película está bien hecha pero no se alcanza a dar la conexión emocional con el espectador.\\""', 'author': 'Lucero Solórzano: Diario Excélsior'}, {'reviewbody': '\\""Fascinante aproximación a las vicisitudes de un excéntrico imitador del Rey del Rock (...) Para creyentes en el poder del escenario. (...) Puntuación: ★★★★ (sobre 5)\\""', 'author': 'Manu Yáñez: Fotogramas'}, {'author': 'Sergio F. Pinilla: Cinemanía', 'reviewbody': '\\""Documentando el patetismo de un doble del Rey del Rock. (...) Iñárritu produce. Mc lnerny y Armando Bo (nieto) encandilan. (...) Puntuación: ★★★½ (sobre 5)\\""'}]",,,,,,,,,,,,,,,,,,,,,,,
2173,Doida Demais,"Letícia (Vera Fischer), uma falsificadora de quadros, avisa para Noé (José Wilker), seu cúmplice e amante, que não quer mais fazer este &quot;serviço&quot; e que de agora em diante eles são apenas sócios. Esta posição desagrada Noé, que não quer perdê-la de jeito nenhum. Letícia não queria participar de uma venda feita para um fazendeiro de Mato Grosso, mas mais uma vez Noé conseguiu convencê-la. Ela viajou para fechar negócio mas nem tudo saiu como Noé planejou, pois ela conhece Gabriel (Paulo Betti), o piloto de um avião de aluguel em que ela viajava. Logo ela se envolve com Gabriel, mas os dois passam a ser perseguidos por Noé em uma fuga desesperada.",Drama,,,https://www.adorocinema.com/filmes/filme-202018/,{'name': 'Sergio Rezende'},"{'bestrating': '5', 'ratingvalue': '2,4', 'worstrating': '0,5', 'ratingcount': '4'}",PT01H45M00S,"[{'name': 'Vera Fischer'}, {'name': 'Ítalo Rossi'}, {'name': 'Paulo Betti'}, {'name': 'José Wilker'}]",,,,,"[{'name': 'Sergio Rezende'}, {'name': 'Jorge Duran'}]",,,,,,,,,,,,,,,,,,,,
1063,Dear Evan Hansen,"Film adaptation of the Tony and Grammy Award-winning musical about Evan Hansen, a high-school senior with social anxiety disorder and his journey of self-discovery and acceptance after a classmate&apos;s suicide.",Drama,,"['suicide', 'social anxiety disorder', 'based on broadway musical']",https://tvonic.com/movie/dear-evan-hansen-2021,{'name': 'Stephen Chbosky'},,,"[{'name': 'Kaitlyn Dever'}, {'name': 'Ben Platt'}, {'name': 'Julianne Moore'}]","Sep 24, 2021",,,,,"[{'name': 'United States'}, {'name': 'China'}, {'name': 'Japan'}]",,,,,,,,,,,,,,,,,,,
11538,A Kid Like Jake,"Brooklyn parents Alex and Greg are lucky to have a kid like Jake. Their four-year-old is bright, precocious, creative and just happens to prefer Disney princesses to toy cars, and skirts to jeans. Jakes &#34;gender-expansive&#34; behavior, as local preschool director Judy dubs it, is no big deal to Alex and Greg. Split in their opinions on how to handle the situation, Alex and Greg find themselves navigating an emotional and ethical minefield with one patch of common ground between them: their fierce desire to do what&#39;s right for Jake.",Drama,R,,https://dvd.netflix.com/Movie/A-Kid-Like-Jake/80202731,{'name': 'Silas Howard'},"{'reviewcount': '7677', 'ratingvalue': '2.9878'}",PT1H30M,"[{'name': 'Claire Danes'}, {'name': 'Leo James David'}, {'name': 'Octavia Spencer'}, {'name': 'Cindy Cheung'}, {'name': 'Priyanka Chopra'}, {'name': 'Amy Landecker'}, {'name': 'Kelly McAndrew'}, {'name': 'Jim Parsons'}, {'name': 'Ann Dowd'}, {'name': 'Aasif Mandvi'}]",,,,,,,2018,{'name': 'English: Dolby Digital 2.0 Stereo'},{'name': 'French'},,,,,,,,,,,,,,,,
4797,A Journal for Jordan,"First Sergeant Charles Monroe King, a soldier deployed to Iraq, begins to keep a journal of love and advice for his infant son. Back at home, senior New York Times editor Dana Canedy revisits the story of her unlikely, life-altering relationship with King and his enduring devotion to her and their child.",Drama,PG-13,,https://dvd.netflix.com/Movie/A-Journal-for-Jordan/81472868,{'name': 'Denzel Washington'},"{'ratingvalue': '3.5342', 'reviewcount': '6608'}",PT2H11M,"[{'name': 'Jalon Christian'}, {'name': 'Vanessa Aspillaga'}, {'name': 'Chanté Adams'}, {'name': 'Susan Pourfar'}, {'name': 'Melanie Nicholls-King'}, {'name': 'Michael B. Jordan'}, {'name': 'Samuel Caleb Walker'}, {'name': 'Spencer Squire'}, {'name': 'Jasmine Batchelor'}, {'name': 'Robert Wisdom'}, {'name': 'Marchánt Davis'}, {'name': 'Johnny M. Wu'}, {'name': 'Tamara Tunie'}, {'name': 'David Wilson Barnes'}]",,,,,,,2021,{'name': 'English: Dolby Digital 5.1'},{'name': 'English SDH'},,,,,,,,,,,,,,,,
331,Eyes Wide Shut,"An argument over fidelity between a doctor and his wife sends the physician reeling into the Manhattan night. He soon finds himself in a surreal succession of sexually charged encounters, capped off by a clandestine visit to an upper-crust orgy.",Drama,NR,,https://dvd.netflix.com/Movie/Eyes-Wide-Shut/5670434?dsrc=DVDWEB,{'name': 'Stanley Kubrick'},"{'ratingvalue': '3.0125', 'reviewcount': '1653313'}",PT2H39M,"[{'name': 'Leelee Sobieski'}, {'name': 'Todd Field'}, {'name': 'Tom Cruise'}, {'name': 'Sydney Pollack'}, {'name': 'Nicole Kidman'}, {'name': 'Michael Doven'}, {'name': 'Kevin Connealy'}, {'name': 'Marie Richardson'}, {'name': 'Lisa Leone'}, {'name': 'Randall Paul'}, {'name': 'Stewart Thorndike'}, {'name': 'Sky Dumont'}, {'name': 'Madison Eginton'}, {'name': 'Alan Cumming'}, {'name': 'Jackie Sawris'}, {'name': 'Rade Serbedzija'}, {'name': 'Mariana Hewett'}, {'name': 'Julienne Davis'}, {'name': 'Louise J. Taylor'}, {'name': 'Peter Benson'}, {'name': 'Thomas Gibson'}, {'name': 'Leslie Lowe'}]",,,,,,,1999,{'name': 'English: Dolby Digital 5.1'},"[{'name': 'French'}, {'name': 'Spanish (Neutral)'}, {'name': 'English'}]",,,,,,,,,,,,,,,,
4922,A Million Miles Away,"Jose Hernandez is the first migrant farmworker to travel to space. A tale of perseverance, community and sacrifice to accomplish an impossible dream.",Drama,,,https://www.filmaffinity.com/us/film686411.html,{'name': 'Alejandra Márquez Abella'},"{'ratingvalue': '6.4', 'worstrating': '1', 'reviewcount': '2', 'ratingcount': '383', 'bestrating': '10'}",122 min.,"[{'name': 'Carlos S. Sanchez'}, {'name': 'Veronica Falcón'}, {'name': 'Juan Pablo Monterrubio'}, {'name': 'Michael Peña'}, {'name': 'Eric Johnson'}, {'name': 'Isaac Arellanes'}, {'name': 'Michelle Krusiec'}, {'name': 'Emma Fassler'}, {'name': 'Michael Adler'}, {'name': 'Garret Dillahunt'}, {'name': 'Jordan Dean'}, {'name': 'Sarayu Blue'}, {'name': 'Julio Cedillo'}, {'name': 'Ashley Ciarra'}, {'name': 'Rosa Salazar'}, {'name': 'Bobby Soto'}]",2023,"[{'author': 'Jennifer Green: Common Sense Media', 'reviewbody': '\\""Benefitting from a well-structured script and understated directing and acting, this film molds an expectedly flattering underdog tale while resisting the fawning romanticism of some biopics (...) Rating: ★★★★ (out of 5)\\""'}, {'author': 'Christy Lemire: rogerebert.com', 'reviewbody': '\\""[It] is an inspiring movie based on an inspiring story told in an inspiring way (...) Rating: ★★½ (out of 4)\\""'}, {'reviewbody': '\\""It’s a perfectly watchable biopic that audiences of all ages should find at least modestly inspiring\\""', 'author': 'John Serba: Decider'}, {'author': 'Brian Farvour: The Playlist', 'reviewbody': '\\""An undeniably terrific story (...) but it never quite lifts off above cliché\\""'}, {'reviewbody': '\\""Alejandra Márquez Abella’s portrayal of José Hernández is heartwarming and humble. Michael Peña, who plays Hernandez, gives a compelling performance (...) Rating: ★★★½ (out of 5)\\""', 'author': 'Romey Norton: Ready Steady Cut'}, {'author': 'Michael Ordoña: Los Angeles Times', 'reviewbody': '\\""[It] doesn’t exactly zoom past the stratosphere, but it’s kept in orbit by Hernández’s inspirational true story and the comfort of family ties\\""'}, {'author': 'G. Allen Johnson: San Francisco Chronicle', 'reviewbody': '\\""The real José Hernández seems like a fascinating guy... He deserved a better movie (...) Rating: ★★ (out of 4)\\""'}]",,,,,,,,,,,,,,,,,,,,,,,
605,Black Bear,"A filmmaker at a creative impasse seeks solace from her tumultuous past at a rural retreat, only to find that the woods summon her inner demons in intense and surprising ways.",Drama,,"['bear', 'jealousy', 'psychological drama']",https://tvonic.com/movie/black-bear-2020,{'name': 'Lawrence Michael Levine'},,,"[{'name': 'Sarah Gadon'}, {'name': 'Christopher Abbott'}, {'name': 'Aubrey Plaza'}]","Dec 04, 2020",,,,,{'name': 'United States'},,,,,,,,,,,,,,,,,,,
1463,El gato negro (Kuroneko),"Una mujer y su nuera son atacadas y violadas por un grupo de samuráis, que las asesinan cuando prenden fuego a la cabaña en que ellas viven. Poco después, dos mujeres muy parecidas a las muertas entran en escena, atrayendo a samuráis solitarios hasta su casa con oscuras y vengativas intenciones. (FILMAFFINITY)",Drama,,,https://www.filmaffinity.com/es/film950063.html,{'name': 'Kaneto Shindô'},"{'worstrating': '1', 'reviewcount': '8', 'ratingvalue': '7.3', 'bestrating': '10', 'ratingcount': '1496'}",99 min.,"[{'name': 'Rokko Toura'}, {'name': 'Kichiemon Nakamura'}, {'name': 'Nobuko Otowa'}, {'name': 'Noriyuki Nishiuchi'}, {'name': 'Hideo Kanze'}, {'name': 'Kiwako Taichi'}, {'name': 'Kentarô Kaji'}, {'name': 'Kei Sato'}, {'name': 'Shôji Ôki'}, {'name': 'Taiji Tonoyama'}, {'name': 'Hideaki Esumi'}, {'name': 'Masaru Miyata'}]",1968,,,,,,,,,,,,,,,,,,,,,,,,
