row_id,name,offers,description,sku,brand,category,page_url,productid,releasedate
207718,SpongeBob Katamari Crossover,"{'pricevaliduntil': 'Oct. 23, 2023', 'pricecurrency': 'USD', 'availability': 'http://schema.org/InStock', 'price': '22.95', 'itemcondition': 'http://schema.org/NewCondition'}","The fitted t-shirt is an everyday staple. Features 100% preshrunk 32-single, 4.3 oz. Combed & Ring-spun cotton (Heathers contain some polyester).",spongebob-katamari-crossover-womens-t-shirt-fitted-light_pink,"{'name': ""Kadusaurus's Shop""}",T-Shirt,https://kadusaurus.threadless.com/designs/spongebob-katamari-crossover/womens/t-shirt/fitted?color=light_pink,,
133696,Bat Pig,"{'pricecurrency': 'USD', 'availability': 'http://schema.org/InStock', 'price': '22.95', 'itemcondition': 'http://schema.org/NewCondition', 'pricevaliduntil': 'Oct. 31, 2023'}","The classic t-shirt features boxy, classic fit. Solid colors: 100% Preshrunk jersey knit 5.3 oz/yd cotton. Unisex sizing to fit most people.",bat-pig-womens-t-shirt-classic-unisex-black,{'name': 'Pigment World Artist Shop'},T-Shirt,https://rjamadoart.threadless.com/designs/bat-pig/womens/t-shirt/classic-unisex?color=black&size=medium,,
165892,#HARDTOBEAT - LGBT Pride Month,"{'pricecurrency': 'USD', 'availability': 'http://schema.org/InStock', 'pricevaliduntil': 'Oct. 26, 2023', 'price': '13', 'itemcondition': 'http://schema.org/NewCondition'}","This custom printed kids t-shirt is 100% cotton with the exception of heathers (heather grey, for example, is 90% cotton, 10% polyester) Fabric laundered. Set-in 1x1 inch collar. Satin label",hardtobeat-lgbt-pride-month-kids-t-shirt-black,{'name': 'Hard To Beat'},T-Shirt,https://hardtobeat.threadless.com/designs/hardtobeat-lgbt-pride-month/kids,,
293547,High on Life,"{'pricecurrency': 'USD', 'availability': 'http://schema.org/InStock', 'price': '35.95', 'pricevaliduntil': 'Oct. 28, 2023', 'itemcondition': 'http://schema.org/NewCondition'}",Our premium tee provides a structured fit in an elevated garment with a handful of subtle but noticeable flourishes. The heavier combed cotton results in a mid-weight fabric with a buttery smooth touch.,high-on-life-mens-t-shirt-premium-heavy_metal,{'name': 'Norman Duenas'},T-Shirt,https://normanduenas.threadless.com/designs/high-on-life/mens/t-shirt/premium?color=heavy_metal,,
215475,Die-cast Addict,"{'pricecurrency': 'USD', 'pricevaliduntil': 'Oct. 29, 2023', 'availability': 'http://schema.org/InStock', 'itemcondition': 'http://schema.org/NewCondition', 'price': '39.95'}",Versatile 6oz t-shirt in a unisex style. Made from soft 100% cotton (most colors). Iconic Champion “C” logo patch on the left sleeve. Double-needle stitching at sleeves and bottom hem. Available in sizes S–3XL.,die-cast-addict-mens-t-shirt-champion-heather_charcoal,{'name': 'Krishna Designs'},T-Shirt,https://krishnadraws.threadless.com/designs/die-cast-addict/mens/t-shirt/champion?color=heather_charcoal,,
128505,#DefineYourself Black,"{'pricecurrency': 'USD', 'availability': 'http://schema.org/InStock', 'price': '27.95', 'pricevaliduntil': 'Oct. 26, 2023', 'itemcondition': 'http://schema.org/NewCondition'}",This Ringer T-shirt is 100% Cotton (Heathers made of cotton / polyester). featuring a classic fit and contrasting bands on the neck and sleeves. Unisex sizing to fit most people.,defineyourself-black-mens-t-shirt-ringer-white_black_ringer,{'name': '#DefineYourself Shop'},T-Shirt,https://dfysshop.threadless.com/designs/defineyourself-black/mens/t-shirt/ringer,,
136938,LE SHEET BON BOO,"{'pricecurrency': 'USD', 'pricevaliduntil': 'Oct. 29, 2023', 'availability': 'http://schema.org/InStock', 'price': '13', 'itemcondition': 'http://schema.org/NewCondition'}","An everyday staple, the regular t-shirt is the workhorse of your wardrobe. An easy-wearing unisex fit makes the regular tee perfect for every body, and with combed ring spun cotton they have mid-weight fabric & an extra-comfortable feel.",fantome-mens-t-shirt-regular-cyan,{'name': 'Burrito Goblin'},T-Shirt,https://burritogoblin.threadless.com/designs/fantome/mens/t-shirt/regular?color=cyan,,
276175,Steampunk-story telling,"{'pricecurrency': 'USD', 'availability': 'http://schema.org/InStock', 'pricevaliduntil': 'Nov. 3, 2023', 'price': '22.95', 'itemcondition': 'http://schema.org/NewCondition'}","An everyday staple, the regular t-shirt is the workhorse of your wardrobe. An easy-wearing unisex fit makes the regular tee perfect for every body, and with combed ring spun cotton they have mid-weight fabric & an extra-comfortable feel.",steampunk-story-telling-mens-t-shirt-regular-orange_poppy,{'name': 'NadineMay Artist Shop'},T-Shirt,https://justkidding.threadless.com/designs/steampunk-story-telling/mens/t-shirt/regular?color=orange_poppy,,
177237,"Cruel Valentine \""Forget Me Not\"" in Purple","{'pricecurrency': 'USD', 'availability': 'http://schema.org/InStock', 'pricevaliduntil': 'Nov. 3, 2023', 'price': '22.95', 'itemcondition': 'http://schema.org/NewCondition'}","The fitted t-shirt is an everyday staple. Features 100% preshrunk 32-single, 4.3 oz. Combed & Ring-spun cotton (Heathers contain some polyester).",cruel-valentine-forget-me-not-in-purple-womens-t-shirt-fitted-royal_blue,{'name': 'Cruel Valentine'},T-Shirt,https://cruelvalentine.threadless.com/designs/cruel-valentine-forget-me-not-in-purple/womens/t-shirt/fitted?color=royal_blue,,
105014,Seahorses on Dark,"{'pricevaliduntil': 'Oct. 23, 2023', 'pricecurrency': 'USD', 'availability': 'http://schema.org/InStock', 'price': '22.95', 'itemcondition': 'http://schema.org/NewCondition'}","An everyday staple, the regular t-shirt is the workhorse of your wardrobe. An easy-wearing unisex fit makes the regular tee perfect for every body, and with combed ring spun cotton they have mid-weight fabric & an extra-comfortable feel.",seahorses-on-dark-mens-t-shirt-regular-white,{'name': 'Posh Tide'},T-Shirt,https://poshtide.threadless.com/designs/seahorses-on-dark/mens/t-shirt/regular?color=white,,
